k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 16 0.088 25 1 0.001375 19.478 0.0499 0.021241 0.025522 0 0.00055256 0.020568 0.0042182 41.255 100000 100 100 0.0574 0.026251 0.024469
10 1 16 0.088 25 1 0.00175 19.478 0.0499 0.021241 0.02557 0 0.00055988 0.020556 0.0042634 41.255 100000 100 100 0.0574 0.026251 0.024392
10 1 16 0.088 25 1 0.0025 19.478 0.0499 0.021241 0.025372 0 0.00055807 0.020429 0.0042035 41.255 100000 100 100 0.0573 0.026093 0.024274
10 1 16 0.088 25 1 0.00375 19.478 0.0499 0.021241 0.025276 0 0.00053122 0.020446 0.0041171 41.255 100000 100 100 0.057 0.025697 0.024309
10 1 16 0.088 25 1 0.005 19.478 0.0491 0.02036 0.025235 0 0.00053022 0.020411 0.0041132 41.055 100000 100 100 0.0567 0.025541 0.024215
10 1 16 0.088 25 1 0.0075 19.478 0.0483 0.019877 0.025191 0 0.00053138 0.020409 0.0040694 40.641 100000 100 100 0.0561 0.024848 0.024189
10 1 16 0.088 25 1 0.01 19.478 0.0474 0.019072 0.025169 0 0.00051917 0.020427 0.0040412 40.256 100000 100 100 0.0555 0.024534 0.024158
10 3 11 0.088 25 1 1e-07 3.395 0.5118 0.10364 0.23596 0 0.0012137 0.053748 0.18074 3267.3 100000 100 100 0.5335 0.10283 0.21767
10 3 11 0.088 25 1 1.375e-07 3.395 0.5118 0.10364 0.21242 0 0.0010541 0.037685 0.17333 3267.3 100000 100 100 0.5335 0.10283 0.21102
10 3 11 0.088 25 1 1.75e-07 3.395 0.5118 0.10364 0.21137 0 0.0010618 0.037149 0.17282 3267.3 100000 100 100 0.5335 0.10283 0.21225
10 3 11 0.088 25 1 2.5e-07 3.395 0.5118 0.10364 0.21136 0 0.0010786 0.037199 0.17275 3267.3 100000 100 100 0.5335 0.10283 0.20947
10 3 11 0.088 25 1 3.75e-07 3.395 0.5118 0.10364 0.21191 0 0.0010737 0.037213 0.17329 3267.3 100000 100 100 0.5335 0.10283 0.20956
10 3 11 0.088 25 1 5e-07 3.395 0.5118 0.10364 0.21168 0 0.0010794 0.037266 0.173 3267.3 100000 100 100 0.5335 0.10283 0.21146
10 3 11 0.088 25 1 7.5e-07 3.395 0.5118 0.10364 0.2134 0 0.0010787 0.037507 0.17447 3267.3 100000 100 100 0.5335 0.10283 0.20973
10 3 11 0.088 25 1 1e-06 3.395 0.5118 0.10364 0.21147 0 0.0010625 0.03719 0.17287 3267.3 100000 100 100 0.5335 0.10283 0.20969
10 3 11 0.088 25 1 1.375e-06 3.395 0.5118 0.10364 0.21177 0 0.0010466 0.037408 0.17297 3267.3 100000 100 100 0.5335 0.10283 0.2098
10 3 11 0.088 25 1 1.75e-06 3.395 0.5118 0.10364 0.21178 0 0.0010657 0.037223 0.17315 3267.3 100000 100 100 0.5335 0.10283 0.20977
10 3 11 0.088 25 1 2.5e-06 3.395 0.5118 0.10364 0.21457 0 0.0011078 0.039118 0.17399 3267.3 100000 100 100 0.5335 0.10283 0.21642
10 3 11 0.088 25 1 3.75e-06 3.395 0.5118 0.10364 0.21442 0 0.001178 0.039532 0.17337 3267.3 100000 100 100 0.5335 0.10283 0.20962
10 3 11 0.088 25 1 5e-06 3.395 0.5118 0.10364 0.21134 0 0.001049 0.036909 0.17305 3267.3 100000 100 100 0.5335 0.10283 0.20887
10 3 11 0.088 25 1 7.5e-06 3.395 0.5118 0.10364 0.21155 0 0.0010571 0.03707 0.1731 3267.3 100000 100 100 0.5335 0.10283 0.2092
10 3 11 0.088 25 1 1e-05 3.395 0.5118 0.10364 0.21226 0 0.0010504 0.037072 0.17381 3267.3 100000 100 100 0.5335 0.10283 0.21165
10 3 11 0.088 25 1 1.375e-05 3.395 0.5118 0.10364 0.21128 0 0.0010462 0.036954 0.17295 3267.3 100000 100 100 0.5335 0.10283 0.20881
10 3 11 0.088 25 1 1.75e-05 3.395 0.5118 0.10364 0.21099 0 0.0010491 0.036883 0.17272 3267.3 100000 100 100 0.5335 0.10283 0.21098
10 3 11 0.088 25 1 2.5e-05 3.395 0.5118 0.10364 0.21238 0 0.0010377 0.03816 0.17285 3267.3 100000 100 100 0.5335 0.10283 0.21019
10 3 11 0.088 25 1 3.75e-05 3.395 0.5118 0.10364 0.21085 0 0.0010387 0.03683 0.17265 3267.3 100000 100 100 0.5335 0.10283 0.20902
10 3 11 0.088 25 1 5e-05 3.395 0.5118 0.10364 0.21129 0 0.0010496 0.036899 0.17302 3267.3 100000 100 100 0.5335 0.10283 0.20896
10 3 11 0.088 25 1 7.5e-05 3.395 0.5118 0.10364 0.21154 0 0.0010501 0.036954 0.17319 3267.3 100000 100 100 0.5335 0.10283 0.20877
10 3 11 0.088 25 1 0.0001 3.395 0.5118 0.10364 0.21059 0 0.0010366 0.036873 0.17235 3258.3 100000 100 100 0.5326 0.10292 0.2086
