k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 2048 500 13.031 0.9937 0.00065096 4.8263 0.9935 0.00072848 4.8081 0 0 0 0 0 0 0 0 3 57 940 
10 4096 1 13.031 0.1374 0.017859 1.4263 0.128 0.015592 1.4234 298 329 185 120 41 17 6 2 2 0 0 
10 4096 2 13.031 0.2066 0.029526 1.4272 0.1987 0.025534 1.4368 180 268 209 155 99 48 18 17 3 2 1 
10 4096 3 13.031 0.2613 0.03801 1.4734 0.2532 0.033683 1.4311 126 203 207 184 111 84 45 22 10 4 4 
10 4096 4 13.031 0.3028 0.041834 1.4905 0.3011 0.038027 1.4572 90 155 204 189 142 101 58 30 19 5 7 
10 4096 5 13.031 0.3397 0.046 1.4719 0.34 0.042843 1.458 69 132 176 177 167 124 66 42 27 12 8 
10 4096 8 13.031 0.4248 0.051436 1.4949 0.4292 0.051078 1.4655 32 77 126 164 176 142 121 77 35 32 18 
10 4096 10 13.031 0.4676 0.052823 1.4777 0.4762 0.051765 1.475 21 54 108 140 168 173 114 102 56 37 27 
10 4096 12 13.031 0.5079 0.05262 1.4914 0.513 0.051943 1.5132 13 40 78 125 166 176 130 110 82 42 38 
10 4096 20 13.031 0.6168 0.054312 1.6037 0.6141 0.04876 1.5803 5 18 41 71 114 155 136 137 140 101 82 
10 4096 25 13.031 0.6645 0.051882 1.5747 0.6603 0.04564 1.5718 3 13 26 54 90 128 138 159 142 129 118 
10 4096 50 13.031 0.7917 0.036998 1.7718 0.7895 0.033053 1.7947 0 1 6 14 44 58 106 148 158 190 275 
10 4096 75 13.031 0.855 0.025881 1.9091 0.8513 0.024303 1.8986 0 0 2 2 14 40 68 119 146 215 394 
10 4096 100 13.031 0.8919 0.018523 2.0923 0.8901 0.01791 2.0638 0 0 0 2 7 15 44 89 141 225 477 
10 4096 250 13.031 0.9694 0.004328 3.0501 0.9698 0.0041121 3.0469 0 0 0 0 0 1 4 11 43 166 775 
10 4096 500 13.031 0.9937 0.00065096 5.0867 0.9935 0.00072848 4.9252 0 0 0 0 0 0 0 0 3 57 940 
10 8192 1 13.031 0.1374 0.017859 1.5548 0.128 0.015592 1.5575 298 329 185 120 41 17 6 2 2 0 0 
10 8192 2 13.031 0.2066 0.029526 1.5572 0.1987 0.025534 1.5621 180 268 209 155 99 48 18 17 3 2 1 
10 8192 3 13.031 0.2613 0.03801 1.627 0.2532 0.033683 1.6132 126 203 207 184 111 84 45 22 10 4 4 
10 8192 4 13.031 0.3028 0.041834 1.5856 0.3011 0.038027 1.5819 90 155 204 189 142 101 58 30 19 5 7 
10 8192 5 13.031 0.3397 0.046 1.5873 0.34 0.042843 1.5795 69 132 176 177 167 124 66 42 27 12 8 
10 8192 8 13.031 0.4248 0.051436 1.6067 0.4292 0.051078 1.6044 32 77 126 164 176 142 121 77 35 32 18 
10 8192 10 13.031 0.4676 0.052823 1.6144 0.4762 0.051765 1.632 21 54 108 140 168 173 114 102 56 37 27 
10 8192 12 13.031 0.5079 0.05262 1.6918 0.513 0.051943 1.6749 13 40 78 125 166 176 130 110 82 42 38 
10 8192 20 13.031 0.6168 0.054312 1.7176 0.6141 0.04876 1.6875 5 18 41 71 114 155 136 137 140 101 82 
10 8192 25 13.031 0.6645 0.051882 1.7132 0.6603 0.04564 1.7093 3 13 26 54 90 128 138 159 142 129 118 
10 8192 50 13.031 0.7917 0.036998 1.8774 0.7895 0.033053 1.8794 0 1 6 14 44 58 106 148 158 190 275 
10 8192 75 13.031 0.855 0.025881 2.0508 0.8513 0.024303 2.0276 0 0 2 2 14 40 68 119 146 215 394 
10 8192 100 13.031 0.8919 0.018523 2.2859 0.8901 0.01791 2.2254 0 0 0 2 7 15 44 89 141 225 477 
10 8192 250 13.031 0.9694 0.004328 3.1939 0.9698 0.0041121 3.2072 0 0 0 0 0 1 4 11 43 166 775 
10 8192 500 13.031 0.9937 0.00065096 5.0224 0.9935 0.00072848 5.0329 0 0 0 0 0 0 0 0 3 57 940 
